freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.446e+02,8.481e+00,2.776e+01,6.809e+02
1.6,3.783e+02,1.979e+01,5.086e+01,4.490e+02
3.1,4.411e+01,2.102e+01,4.622e+01,1.113e+02
4.7,3.629e+02,2.216e+01,3.764e+01,4.227e+02
6.2,1.239e+03,2.254e+01,3.716e+01,1.298e+03
7.8,1.904e+03,2.189e+01,3.471e+01,1.960e+03
9.3,2.556e+03,2.081e+01,2.789e+01,2.604e+03
10.9,3.555e+03,2.139e+01,2.953e+01,3.606e+03
12.4,4.748e+03,2.160e+01,3.877e+01,4.808e+03
14.0,6.165e+03,2.275e+01,3.412e+01,6.222e+03
15.5,7.780e+03,2.213e+01,3.240e+01,7.835e+03
17.1,9.701e+03,2.174e+01,3.966e+01,9.763e+03
18.6,1.212e+04,2.537e+01,5.252e+01,1.220e+04
20.2,1.402e+04,2.828e+01,5.860e+01,1.410e+04
21.7,1.603e+04,2.565e+01,5.827e+01,1.611e+04
23.3,1.895e+04,2.306e+01,6.329e+01,1.904e+04
24.9,2.253e+04,2.779e+01,7.287e+01,2.264e+04
26.4,2.692e+04,3.163e+01,6.808e+01,2.702e+04
28.0,3.240e+04,3.820e+01,4.458e+01,3.249e+04
29.5,3.767e+04,3.897e+01,4.353e+01,3.775e+04
31.1,4.321e+04,3.722e+01,4.402e+01,4.329e+04
32.6,5.085e+04,3.725e+01,5.369e+01,5.094e+04
34.2,6.039e+04,4.307e+01,6.433e+01,6.050e+04
35.7,7.144e+04,5.120e+01,6.639e+01,7.156e+04
37.3,8.609e+04,5.379e+01,5.499e+01,8.619e+04
38.8,1.058e+05,6.664e+01,5.348e+01,1.059e+05
40.4,1.299e+05,1.085e+02,8.168e+01,1.301e+05
41.9,1.623e+05,1.835e+02,1.663e+02,1.627e+05
43.5,1.999e+05,2.350e+02,2.819e+02,2.005e+05
45.0,2.519e+05,3.796e+02,4.259e+02,2.527e+05
46.6,3.233e+05,5.793e+02,5.598e+02,3.244e+05
48.2,4.614e+05,9.204e+02,6.218e+02,4.629e+05
49.7,7.151e+05,1.670e+03,6.746e+02,7.175e+05
51.3,1.371e+06,1.559e+03,9.235e+03,1.382e+06
52.8,2.814e+06,5.435e+03,6.886e+04,2.888e+06
54.4,3.757e+06,1.481e+04,1.418e+05,3.914e+06
55.9,3.134e+06,1.765e+04,1.503e+05,3.302e+06
57.5,2.108e+06,1.294e+04,1.505e+05,2.271e+06
59.0,1.455e+06,5.970e+03,1.204e+05,1.581e+06
60.6,1.016e+06,2.358e+03,8.160e+04,1.100e+06
62.1,7.003e+05,1.001e+03,5.325e+04,7.545e+05
63.7,4.725e+05,4.484e+02,3.430e+04,5.072e+05
65.2,3.154e+05,3.001e+02,2.124e+04,3.370e+05
66.8,2.246e+05,2.698e+02,1.430e+04,2.391e+05
68.3,1.532e+05,2.184e+02,1.174e+04,1.652e+05
69.9,9.835e+04,1.559e+02,1.027e+04,1.088e+05
71.4,6.171e+04,1.799e+02,9.721e+03,7.161e+04
73.0,3.969e+04,2.849e+02,8.666e+03,4.864e+04
74.6,2.514e+04,2.791e+02,8.054e+03,3.348e+04
76.1,1.659e+04,1.912e+02,7.262e+03,2.405e+04
77.7,1.331e+04,1.261e+02,5.875e+03,1.932e+04
79.2,1.881e+04,1.697e+02,5.307e+03,2.429e+04
80.8,2.964e+04,2.440e+02,4.001e+03,3.389e+04
82.3,3.711e+04,2.974e+02,2.493e+03,3.990e+04
83.9,4.865e+04,3.412e+02,2.180e+03,5.117e+04
85.4,6.960e+04,9.680e+02,1.489e+03,7.206e+04
87.0,1.536e+05,3.347e+03,9.391e+02,1.579e+05
88.5,2.882e+05,7.492e+03,8.668e+02,2.965e+05
90.1,3.547e+05,1.553e+04,1.324e+03,3.716e+05
91.6,3.666e+05,2.970e+04,2.465e+03,3.987e+05
93.2,3.490e+05,3.366e+04,3.339e+03,3.860e+05
94.7,3.187e+05,2.790e+04,3.642e+03,3.502e+05
96.3,2.724e+05,2.185e+04,3.651e+03,2.979e+05
97.9,2.430e+05,1.788e+04,3.919e+03,2.648e+05
99.4,2.222e+05,1.505e+04,4.092e+03,2.413e+05
101.0,2.087e+05,1.313e+04,3.600e+03,2.254e+05
102.5,2.197e+05,1.239e+04,3.105e+03,2.352e+05
104.1,2.079e+05,1.097e+04,2.713e+03,2.215e+05
105.6,1.783e+05,9.400e+03,2.551e+03,1.903e+05
107.2,1.571e+05,7.892e+03,2.311e+03,1.673e+05
108.7,1.369e+05,6.071e+03,1.607e+03,1.445e+05
110.3,1.183e+05,5.334e+03,1.258e+03,1.249e+05
111.8,9.382e+04,5.017e+03,1.351e+03,1.002e+05
113.4,6.469e+04,4.462e+03,1.377e+03,7.053e+04
114.9,6.413e+04,4.471e+03,1.416e+03,7.001e+04
116.5,9.870e+04,6.071e+03,2.040e+03,1.068e+05
118.0,1.463e+05,8.438e+03,2.864e+03,1.576e+05
119.6,1.790e+05,9.558e+03,3.442e+03,1.920e+05
121.2,1.973e+05,1.110e+04,4.183e+03,2.126e+05
122.7,1.985e+05,1.152e+04,4.427e+03,2.144e+05
124.3,2.045e+05,1.148e+04,4.267e+03,2.203e+05
125.8,1.924e+05,1.259e+04,4.351e+03,2.093e+05
127.4,1.539e+05,1.169e+04,4.192e+03,1.698e+05
128.9,1.173e+05,9.048e+03,3.825e+03,1.301e+05
130.5,1.088e+05,5.954e+03,3.190e+03,1.179e+05
132.0,1.051e+05,3.147e+03,2.225e+03,1.104e+05
133.6,3.876e+04,1.042e+03,7.422e+02,4.054e+04
135.1,5.813e+03,4.228e+02,1.339e+02,6.369e+03
136.7,4.973e+03,3.834e+02,7.542e+01,5.431e+03
138.2,4.719e+03,3.634e+02,5.783e+01,5.141e+03
139.8,4.928e+03,6.249e+02,2.400e+02,5.793e+03
141.3,1.538e+04,1.072e+04,5.821e+03,3.191e+04
142.9,1.817e+04,1.374e+04,7.434e+03,3.935e+04
144.5,5.795e+03,1.238e+03,5.777e+02,7.610e+03
146.0,5.125e+03,5.185e+02,7.998e+01,5.723e+03
147.6,5.444e+03,7.012e+02,8.388e+01,6.229e+03
149.1,6.458e+03,7.534e+02,1.205e+02,7.332e+03
150.7,7.053e+03,6.582e+02,1.678e+02,7.879e+03
152.2,7.111e+03,7.049e+02,2.057e+02,8.022e+03
153.8,7.159e+03,1.116e+03,2.388e+02,8.514e+03
155.3,6.782e+03,1.687e+03,3.151e+02,8.785e+03
156.9,5.605e+03,1.439e+03,3.643e+02,7.408e+03
158.4,4.182e+03,9.543e+02,3.155e+02,5.452e+03
160.0,2.990e+03,7.337e+02,2.205e+02,3.944e+03
