freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.487e+01,9.655e+02,1.115e+02,1.092e+03
1.6,2.801e+01,5.454e+02,7.971e+01,6.531e+02
3.2,2.738e+01,3.473e+01,2.560e+01,8.771e+01
4.8,3.040e+01,4.339e+02,2.751e+01,4.918e+02
6.3,3.098e+01,1.433e+03,2.580e+01,1.490e+03
7.9,3.019e+01,2.460e+03,2.581e+01,2.516e+03
9.5,3.257e+01,3.967e+03,2.315e+01,4.023e+03
11.1,3.138e+01,4.636e+03,3.520e+01,4.703e+03
12.7,3.035e+01,4.674e+03,4.055e+01,4.745e+03
14.3,4.101e+01,6.747e+03,3.751e+01,6.826e+03
15.8,4.832e+01,9.085e+03,2.998e+01,9.164e+03
17.4,3.990e+01,1.205e+04,3.018e+01,1.212e+04
19.0,3.358e+01,1.508e+04,7.571e+01,1.519e+04
20.6,4.831e+01,1.924e+04,8.692e+01,1.938e+04
22.2,7.769e+01,2.530e+04,8.732e+01,2.546e+04
23.8,8.637e+01,3.370e+04,1.676e+02,3.395e+04
25.3,1.364e+02,4.325e+04,1.779e+02,4.356e+04
26.9,1.257e+02,5.157e+04,1.482e+02,5.184e+04
28.5,7.926e+01,6.615e+04,1.649e+02,6.639e+04
30.1,1.007e+02,9.341e+04,3.362e+02,9.385e+04
31.7,1.438e+02,1.385e+05,7.609e+02,1.394e+05
33.3,1.853e+02,2.197e+05,2.069e+03,2.219e+05
34.8,2.127e+02,3.953e+05,6.509e+03,4.020e+05
36.4,2.690e+02,8.705e+05,2.352e+04,8.942e+05
38.0,5.935e+02,2.128e+06,8.647e+04,2.215e+06
39.6,1.857e+03,3.205e+06,1.704e+05,3.378e+06
41.2,2.824e+03,2.913e+06,1.840e+05,3.100e+06
42.8,1.443e+03,2.447e+06,1.457e+05,2.594e+06
44.4,8.790e+02,1.713e+06,1.228e+05,1.837e+06
45.9,1.154e+03,1.070e+06,1.093e+05,1.180e+06
47.5,1.704e+03,7.718e+05,1.200e+05,8.935e+05
49.1,2.590e+03,6.335e+05,1.515e+05,7.876e+05
50.7,4.022e+03,5.254e+05,1.905e+05,7.200e+05
52.3,7.084e+03,4.347e+05,2.469e+05,6.887e+05
53.9,1.282e+04,3.346e+05,2.986e+05,6.460e+05
55.4,1.740e+04,2.521e+05,2.655e+05,5.350e+05
57.0,2.672e+04,2.018e+05,2.369e+05,4.654e+05
58.6,4.821e+04,1.308e+05,2.208e+05,3.998e+05
60.2,6.025e+04,8.810e+04,1.645e+05,3.128e+05
61.8,6.067e+04,8.960e+04,1.081e+05,2.584e+05
63.4,5.576e+04,9.707e+04,8.597e+04,2.388e+05
64.9,3.981e+04,9.121e+04,7.421e+04,2.052e+05
66.5,2.269e+04,7.592e+04,7.718e+04,1.758e+05
68.1,1.680e+04,5.473e+04,7.726e+04,1.488e+05
69.7,1.365e+04,4.433e+04,7.276e+04,1.307e+05
71.3,7.761e+03,3.591e+04,7.136e+04,1.150e+05
72.9,3.876e+03,2.830e+04,6.475e+04,9.692e+04
74.4,2.614e+03,2.686e+04,5.069e+04,8.016e+04
76.0,1.923e+03,2.829e+04,3.911e+04,6.932e+04
77.6,1.596e+03,2.979e+04,3.235e+04,6.374e+04
79.2,9.503e+02,2.988e+04,2.797e+04,5.879e+04
80.8,4.035e+02,2.996e+04,2.588e+04,5.624e+04
82.4,3.027e+02,2.906e+04,2.368e+04,5.305e+04
83.9,5.426e+02,3.223e+04,2.253e+04,5.530e+04
